timestamp,time_s,force_g,position,strain,top_platen,sample_top,bottom_platen,orig_top_platen,orig_sample_top,orig_bottom_platen
00:00:26.941,26.941,448,1917,25.69974554707379,1751,0,2043,1489,1642,2035
00:00:27.325,27.325,448,1917,25.69974554707379,1751,0,2043,1489,1642,2035
00:00:27.702,27.702,448,1917,25.69974554707379,1751,0,2043,1489,1642,2035
00:00:28.079,28.079,448,1917,25.19083969465649,1749,0,2043,1489,1642,2035
00:00:28.463,28.463,448,1917,25.19083969465649,1749,0,2043,1489,1642,2035
00:00:28.860,28.86,448,1917,25.19083969465649,1749,0,2043,1489,1642,2035
00:00:29.250,29.25,448,1917,24.936386768447832,1749,0,2044,1489,1642,2035
00:00:29.647,29.647,448,1917,25.19083969465649,1749,0,2043,1489,1642,2035
00:00:30.030,30.03,448,1917,25.19083969465649,1749,0,2043,1489,1642,2035
00:00:30.407,30.407,448,1917,25.19083969465649,1749,0,2043,1489,1642,2035
00:00:30.791,30.791,448,1917,25.69974554707379,1751,0,2043,1489,1642,2035
00:00:31.181,31.181,448,1917,25.954198473282446,1752,0,2043,1489,1642,2035
00:00:31.578,31.578,448,1917,25.445292620865146,1750,0,2043,1489,1642,2035
00:00:31.988,31.988,448,1917,25.445292620865146,1750,0,2043,1489,1642,2035
00:00:32.392,32.392,448,1917,25.445292620865146,1750,0,2043,1489,1642,2035
00:00:32.782,32.782,448,1917,26.20865139949109,1753,0,2043,1489,1642,2035
00:00:33.232,33.232,448,1917,26.20865139949109,1753,0,2043,1489,1642,2035
00:00:33.675,33.675,448,1917,25.69974554707379,1751,0,2043,1489,1642,2035
00:00:34.092,34.092,448,1917,25.69974554707379,1751,0,2043,1489,1642,2035
00:00:34.489,34.489,448,1917,26.20865139949109,1753,0,2043,1489,1642,2035
00:00:34.859,34.859,448,1917,25.69974554707379,1751,0,2043,1489,1642,2035
00:00:35.236,35.236,448,1917,25.69974554707379,1751,0,2043,1489,1642,2035
00:00:35.620,35.62,448,1917,26.463104325699746,1754,0,2043,1489,1642,2035
00:00:35.997,35.997,448,1917,26.463104325699746,1754,0,2043,1489,1642,2035
00:00:36.380,36.38,449,1917,25.954198473282446,1752,0,2043,1489,1642,2035
00:00:36.751,36.751,449,1917,25.954198473282446,1752,0,2043,1489,1642,2035
00:00:37.128,37.128,448,1917,26.717557251908403,1755,0,2043,1489,1642,2035
00:00:37.518,37.518,448,1917,26.717557251908403,1755,0,2043,1489,1642,2035
00:00:37.908,37.908,448,1917,25.954198473282446,1752,0,2043,1489,1642,2035
00:00:38.298,38.298,448,1917,25.954198473282446,1752,0,2043,1489,1642,2035
00:00:38.695,38.695,448,1917,26.972010178117046,1756,0,2043,1489,1642,2035
