timestamp,time,force,position,strain
None,0,0,0,0
None,0,0,0,0
None,0,0,0,0
None,0,0,0,0
None,0,0,0,0
None,0,0,0,0
None,0,0,0,0
None,0,0,0,0
None,0,0,0,0
None,0,0,0,0
None,0,0,0,0
None,0,0,0,0
None,0,0,0,0
None,0,0,0,0
None,0,0,0,0
None,0,0,0,0
None,0,0,0,0
None,0,0,0,0
None,0,0,0,0
None,0,0,0,0
None,0,0,0,0
None,0,0,0,0
None,0,0,0,0
None,0,0,0,0
00:00:00.094,0.094,241,0,0
00:00:00.094,0.094,241,0,0
00:00:00.247,0.247,240,0,0
00:00:00.247,0.247,240,0,0
00:00:00.445,0.445,241,0,0
00:00:00.445,0.445,241,0,0
00:00:00.650,0.65,241,0,0
00:00:00.650,0.65,241,0,0
00:00:00.862,0.862,241,0,0
00:00:00.862,0.862,241,0,0
00:00:01.080,1.08,240,0,0
00:00:01.080,1.08,240,0,0
00:00:01.305,1.305,241,0,0
00:00:01.305,1.305,241,0,0
00:00:01.530,1.53,241,0,0
00:00:01.530,1.53,241,0,0
00:00:01.728,1.728,240,0,0
00:00:01.728,1.728,240,0,0
00:00:01.934,1.934,240,0,0
00:00:01.934,1.934,240,0,0
00:00:02.158,2.158,241,0,0
00:00:02.158,2.158,241,0,0
00:00:02.383,2.383,241,0,0
00:00:02.383,2.383,241,0,0
00:00:02.615,2.615,241,0,0
00:00:02.615,2.615,241,0,0
00:00:02.820,2.82,241,0,0
00:00:02.820,2.82,241,0,0
00:00:03.032,3.032,241,0,0
00:00:03.032,3.032,241,0,0
00:00:03.250,3.25,240,0,0
00:00:03.250,3.25,240,0,0
00:00:03.462,3.462,240,0,0
00:00:03.462,3.462,240,0,0
00:00:03.660,3.66,241,0,0
00:00:03.660,3.66,241,0,0
00:00:03.845,3.845,240,0,0
00:00:03.845,3.845,240,0,0
00:00:04.031,4.031,240,0,0
00:00:04.031,4.031,240,0,0
00:00:04.242,4.242,241,0,0
00:00:04.242,4.242,241,0,0
00:00:04.454,4.454,241,0,0
00:00:04.454,4.454,241,0,0
00:00:04.659,4.659,240,0,0
00:00:04.659,4.659,240,0,0
00:00:04.884,4.884,241,0,0
00:00:04.884,4.884,241,0,0
00:00:05.102,5.102,241,0,0
00:00:05.102,5.102,241,0,0
00:00:05.308,5.308,241,0,0
00:00:05.308,5.308,241,0,0
00:00:05.499,5.499,241,0,0
00:00:05.499,5.499,241,0,0
00:00:05.705,5.705,241,0,0
00:00:05.705,5.705,241,0,0
00:00:05.910,5.91,240,0,0
00:00:05.910,5.91,240,0,0
00:00:06.115,6.115,240,0,0
00:00:06.115,6.115,240,0,0
00:00:06.300,6.3,240,0,0
00:00:06.300,6.3,240,0,0
00:00:06.498,6.498,240,0,0
00:00:06.498,6.498,240,0,0
00:00:06.697,6.697,241,0,0
00:00:06.697,6.697,241,0,0
00:00:06.895,6.895,241,0,0
00:00:06.895,6.895,241,0,0
00:00:07.100,7.1,240,0,0
00:00:07.100,7.1,240,0,0
00:00:07.306,7.306,240,0,0
00:00:07.306,7.306,240,0,0
00:00:07.504,7.504,241,0,0
00:00:07.504,7.504,241,0,0
00:00:07.729,7.729,240,0,0
00:00:07.729,7.729,240,0,0
00:00:07.947,7.947,240,0,0
00:00:07.947,7.947,240,0,0
00:00:08.159,8.159,241,0,0
00:00:08.159,8.159,241,0,0
00:00:08.371,8.371,240,0,0
00:00:08.371,8.371,240,0,0
00:00:08.582,8.582,240,0,0
00:00:08.582,8.582,240,0,0
00:00:08.801,8.801,240,0,0
00:00:08.801,8.801,240,0,0
00:00:08.999,8.999,240,0,0
00:00:08.999,8.999,240,0,0
00:00:09.204,9.204,240,0,0
00:00:09.204,9.204,240,0,0
00:00:09.409,9.409,240,0,0
00:00:09.409,9.409,240,0,0
00:00:09.608,9.608,240,0,0
00:00:09.608,9.608,240,0,0
00:00:09.820,9.82,240,0,0
00:00:09.820,9.82,240,0,0
00:00:10.025,10.025,240,0,0
00:00:10.025,10.025,240,0,0
00:00:10.243,10.243,240,0,0
00:00:10.243,10.243,240,0,0
00:00:10.441,10.441,241,0,0
00:00:10.441,10.441,241,0,0
00:00:10.647,10.647,241,0,0
00:00:10.647,10.647,241,0,0
00:00:10.845,10.845,240,0,0
00:00:10.845,10.845,240,0,0
00:00:11.043,11.043,240,0,0
00:00:11.043,11.043,240,0,0
00:00:11.249,11.249,241,0,0
00:00:11.249,11.249,241,0,0
00:00:11.440,11.44,240,0,0
00:00:11.440,11.44,240,0,0
00:00:11.632,11.632,241,0,0
00:00:11.632,11.632,241,0,0
00:00:11.837,11.837,240,0,0
00:00:11.837,11.837,240,0,0
00:00:12.036,12.036,241,0,0
00:00:12.036,12.036,241,0,0
00:00:12.241,12.241,241,0,0
00:00:12.241,12.241,241,0,0
00:00:12.439,12.439,240,0,0
00:00:12.439,12.439,240,0,0
00:00:12.644,12.644,241,0,0
00:00:12.644,12.644,241,0,0
00:00:12.856,12.856,240,0,0
00:00:12.856,12.856,240,0,0
00:00:13.061,13.061,240,0,0
00:00:13.061,13.061,240,0,0
00:00:13.260,13.26,240,0,0
00:00:13.260,13.26,240,0,0
00:00:13.471,13.471,240,0,0
00:00:13.471,13.471,240,0,0
00:00:13.677,13.677,240,0,0
00:00:13.677,13.677,240,0,0
00:00:13.875,13.875,240,0,0
00:00:13.875,13.875,240,0,0
00:00:14.067,14.067,240,0,0
00:00:14.067,14.067,240,0,0
00:00:14.265,14.265,240,0,0
00:00:14.265,14.265,240,0,0
00:00:14.464,14.464,241,0,0
