timestamp,time_s,force_g,position,strain,top_platen,sample_top,bottom_platen,orig_top_platen,orig_sample_top,orig_bottom_platen
None,0,0,0,0.3703703703703667,1666,1759,2028,1666,1758,2028
None,0,0,0,0.0,1666,1758,2028,1666,1758,2028
00:00:00.014,0.014,17,0,0.0,1666,1758,2028,1666,1758,2028
00:00:00.424,0.424,17,0,0.3703703703703667,1678,1759,2028,1666,1758,2028
00:00:00.768,0.768,17,0,0.3703703703703667,1666,1759,2028,1666,1758,2028
00:00:01.172,1.172,17,0,0.3703703703703667,1666,1759,2028,1666,1758,2028
00:00:01.542,1.542,17,0,0.0,1678,1758,2028,1666,1758,2028
00:00:01.880,1.88,17,0,0.3703703703703667,1678,1759,2028,1666,1758,2028
00:00:02.257,2.257,17,0,0.0,1678,1758,2028,1666,1758,2028
00:00:02.627,2.627,17,0,0.3703703703703667,1678,1759,2028,1666,1758,2028
00:00:03.018,3.018,18,0,0.3703703703703667,1666,1759,2028,1666,1758,2028
00:00:03.395,3.395,17,0,0.3703703703703667,1678,1759,2028,1666,1758,2028
00:00:03.759,3.759,17,0,0.3703703703703667,1678,1759,2028,1666,1758,2028
00:00:04.122,4.122,17,0,0.3703703703703667,1678,1759,2028,1666,1758,2028
00:00:04.493,4.493,17,0,0.3703703703703667,1678,1759,2028,1666,1758,2028
00:00:04.817,4.817,17,0,0.3703703703703667,1678,1759,2028,1666,1758,2028
00:00:05.161,5.161,18,0,0.3703703703703667,1660,1759,2028,1666,1758,2028
00:00:05.505,5.505,17,0,0.3703703703703667,1666,1759,2028,1666,1758,2028
00:00:05.836,5.836,18,0,0.3703703703703667,1678,1759,2028,1666,1758,2028
00:00:06.193,6.193,17,0,0.3703703703703667,1660,1759,2028,1666,1758,2028
00:00:06.557,6.557,17,0,0.3703703703703667,1660,1759,2028,1666,1758,2028
00:00:06.987,6.987,27,413,0.3703703703703667,1678,1759,2028,1666,1758,2028
00:00:07.410,7.41,72,913,0.3703703703703667,1666,1759,2028,1666,1758,2028
00:00:07.854,7.854,233,1447,0.3703703703703667,1684,0,2027,1666,1758,2028
00:00:08.330,8.33,474,1765,30.370370370370367,1867,0,2055,1666,1758,2028
00:00:08.747,8.747,475,1765,62.592592592592595,1953,0,2054,1666,1758,2028
