timestamp,time_s,force_g,position,strain,top_platen,sample_top,bottom_platen,orig_top_platen,orig_sample_top,orig_bottom_platen
00:00:02.993,2.993,257,0,-7.84361144699719,168,31.1333333333333,923,135,253,1080
00:00:03.046,3.046,257,0,-7.5534058847239,167,32.5333333333333,922,135,253,1080
00:00:03.099,3.099,257,0,-7.48891575977429,169,32.0666666666667,921,135,253,1080
00:00:03.152,3.152,257,0,-7.48085449415558,169,32.1333333333333,921,135,253,1080
00:00:03.211,3.211,257,0,-7.41636436920597,169,30.6666666666667,919,135,253,1080
00:00:03.264,3.264,257,0,-7.20677146311972,168,31.4,918,135,253,1080
00:00:03.317,3.317,256,0,-7.06166868198307,168,31.6,917,135,253,1080
00:00:03.370,3.37,256,0,-6.85207577589682,168,32.3333333333333,916,135,253,1080
00:00:03.423,3.423,257,0,-6.90850463522771,168,31.8666666666667,916,135,253,1080
00:00:03.469,3.469,257,0,-6.98105602579606,169,31.2666666666667,916,135,253,1080
00:00:03.528,3.528,257,0,-7.12615880693268,169,31.0666666666667,917,135,253,1080
00:00:03.575,3.575,257,0,-6.67472793228538,168,32.8,915,135,253,1080
00:00:03.634,3.634,257,0,-6.86013704151551,169,31.2666666666667,915,135,253,1080
00:00:03.694,3.694,257,0,-6.92462716646514,170,32.7333333333333,917,135,253,1080
00:00:03.753,3.753,256,0,-6.69891172914147,169,31.6,914,135,253,1080
00:00:03.806,3.806,256,0,-6.69085046352278,169,32.6666666666667,915,135,253,1080
00:00:03.865,3.865,257,0,-6.87625957275293,169,32.1333333333333,916,135,253,1080
00:00:03.918,3.918,257,0,-6.69085046352278,170,31.6666666666667,914,135,253,1080
00:00:03.971,3.971,257,0,-6.70697299476018,169,31.5333333333333,914,135,253,1080
00:00:04.024,4.024,257,0,-6.59411527609835,170,32.4666666666667,914,135,253,1080
00:00:04.077,4.077,256,0,-6.36839983877468,170,33.3333333333333,913,135,253,1080
00:00:04.130,4.13,257,0,-8.59330914953648,171,16.9333333333333,915,135,253,1080
00:00:04.183,4.183,258,0,-6.85207577589682,170,32.3333333333333,916,135,253,1080
00:00:04.236,4.236,257,0,-6.80370818218461,170,31.7333333333333,915,135,253,1080
00:00:04.288,4.288,257,0,-8.98831116485287,170,16.6666666666667,918,135,253,1080
00:00:04.341,4.341,257,0,-8.80290205562272,170,17.2,917,135,253,1080
00:00:04.394,4.394,256,0,-8.89157597742845,170,16.4666666666667,917,135,253,1080
00:00:04.447,4.447,257,0,-9.0608625554212,171,17.0666666666667,919,135,253,1080
00:00:04.500,4.5,257,0,-7.26320032245063,170,31.9333333333333,919,135,253,1080
00:00:04.553,4.553,256,0,-8.79484079000403,171,16.2666666666667,916,135,253,1080
00:00:04.606,4.606,256,0,-8.36759371221282,170,16.8,913,135,253,1080
00:00:04.672,4.672,257,0,-6.74727932285369,172,30.2,913,135,253,1080
00:00:04.731,4.731,257,0,-8.52881902458687,170,16.4666666666667,914,135,253,1080
00:00:04.784,4.784,258,0,-8.35147118097541,171,16.9333333333333,913,135,253,1080
00:00:04.837,4.837,257,0,-8.28698105602579,172,16.4666666666667,912,135,253,1080
00:00:04.890,4.89,257,0,-6.33615477629988,170,31.6,911,135,253,1080
00:00:04.943,4.943,257,0,-7.81942765014108,170,16.3333333333333,908,135,253,1080
00:00:04.996,4.996,257,0,-7.90810157194679,171,16.6,909,135,253,1080
00:00:05.048,5.048,257,0,-7.68238613462313,171,16.4666666666667,907,135,253,1080
00:00:05.108,5.108,257,0,-7.53728335348652,173,15.6666666666667,905,135,253,1080
00:00:05.161,5.161,257,0,-7.5211608222491,172,15.8,905,135,253,1080
00:00:05.214,5.214,257,0,-7.47279322853687,172,16.2,905,135,253,1080
00:00:05.273,5.273,257,0,-7.45667069729947,173,16.3333333333333,905,135,253,1080
