timestamp,time (s),force,position,strain
None,0,0,0,0.0
None,0,0,0,0.0
None,0,0,0,0.0
None,0,0,0,0.0
00:00:00.153,0.153,-2,0,0.0
00:00:00.213,0.213,-2,0,0.0
00:00:00.445,0.445,-2,0,0.0
00:00:00.497,0.497,-2,0,0.0
00:00:00.756,0.756,-2,0,0.0
00:00:00.822,0.822,-1,0,0.0
00:00:01.027,1.027,-2,0,0.0
00:00:01.080,1.08,-2,0,0.0
00:00:01.324,1.324,-1,0,0.0
00:00:01.377,1.377,-1,0,0.0
00:00:01.569,1.569,-2,0,0.0
00:00:01.622,1.622,-1,0,0.0
00:00:01.834,1.834,-2,0,0.0
00:00:01.880,1.88,-1,0,0.0
00:00:02.079,2.079,-2,0,0.0
00:00:02.125,2.125,-2,0,0.0
00:00:02.363,2.363,-2,0,0.0
00:00:02.416,2.416,-1,0,0.0
00:00:02.608,2.608,-2,0,0.0
00:00:02.654,2.654,-2,0,0.0
00:00:02.873,2.873,-1,0,0.0
00:00:02.925,2.925,-2,0,0.0
00:00:03.131,3.131,-2,0,0.0
00:00:03.184,3.184,-2,0,0.0
00:00:03.422,3.422,-2,0,0.0
00:00:03.488,3.488,-2,0,0.0
00:00:03.693,3.693,-1,0,0.0
00:00:03.746,3.746,-2,0,0.0
00:00:03.964,3.964,-1,0,0.0
00:00:04.024,4.024,-1,0,0.0
00:00:04.249,4.249,-1,0,0.0
00:00:04.315,4.315,-1,0,0.0
00:00:04.579,4.579,-1,0,0.0
00:00:04.639,4.639,-1,0,0.0
00:00:04.890,4.89,-2,0,0.0
00:00:04.957,4.957,-2,0,0.0
00:00:05.195,5.195,-2,0,0.0
00:00:05.254,5.254,-1,0,0.0
00:00:05.453,5.453,-2,0,0.0
00:00:05.506,5.506,-2,0,0.0
00:00:05.731,5.731,-1,0,0.0
00:00:05.784,5.784,-2,0,0.0
00:00:05.969,5.969,-2,0,0.0
00:00:06.015,6.015,-2,0,0.0
00:00:06.227,6.227,-2,0,0.0
00:00:06.280,6.28,-2,0,0.0
00:00:06.472,6.472,-1,0,0.0
00:00:06.524,6.524,-2,0,0.0
00:00:06.743,6.743,-2,0,0.0
00:00:06.796,6.796,-1,0,0.0
00:00:06.994,6.994,-2,0,0.0
00:00:07.047,7.047,-2,0,0.0
00:00:07.265,7.265,-1,0,0.0
00:00:07.318,7.318,-1,0,0.0
00:00:07.510,7.51,-2,0,0.0
00:00:07.563,7.563,-2,0,0.0
00:00:07.788,7.788,-2,0,0.0
00:00:07.841,7.841,-2,0,0.0
